"Story","Title","Result","Date","Stability","Duration (s)"
"Centro de ayuda","Contactar con el centro de ayuda exitoso","SUCCESS","2021-08-23T23:09:22.149-05:00[America/Bogota]","0.0","4.64"
"Centro de ayuda","Contactar con el centro de ayudas sin inciar sesion","SUCCESS","2021-08-23T23:09:26.81-05:00[America/Bogota]","0.0","1.03"
"Centro de ayuda","Solicitar ayuda sin estar registrado en la pagina","SUCCESS","2021-08-23T23:09:27.851-05:00[America/Bogota]","0.0","1.27"
"Cuenta de usuario",":  Manejo de cuenta exitoso","SUCCESS","2021-08-23T23:07:33.844-05:00[America/Bogota]","0.0","5.39"
"Cambio de idioma","Cambio de lenguaje exitoso","SUCCESS","2021-08-23T23:08:01.114-05:00[America/Bogota]","0.0","3.16"
"Seleccionar la moneda","Cambio de moneda exitoso","SUCCESS","2021-08-23T23:04:19.162-05:00[America/Bogota]","0.0","3.41"
"Notificaciones del usuario","Notificaciones de usuario exitoso","SUCCESS","2021-08-23T23:04:33.916-05:00[America/Bogota]","0.0","3.54"
"Registro de usuario",": Registro exitoso","SUCCESS","2021-08-23T23:04:48.168-05:00[America/Bogota]","0.0","3.29"
"Registro de usuario","Registro con contraseñas incorrectas","SUCCESS","2021-08-23T23:04:51.477-05:00[America/Bogota]","0.0","2.77"
"Registro de usuario","Registro con correo incorrecto","SUCCESS","2021-08-23T23:04:54.263-05:00[America/Bogota]","0.0","2.25"
"Renta de autos","rentar un auto exitoso","SUCCESS","2021-08-23T23:05:08.695-05:00[America/Bogota]","0.0","5.05"
"Renta de autos","Rentar un auto sin seleccionar lugar de recogida","SUCCESS","2021-08-23T23:05:13.766-05:00[America/Bogota]","0.0","2.6"
"Subscribirse","Subscripcion exitosa","SUCCESS","2021-08-23T23:05:35.869-05:00[America/Bogota]","0.0","3.82"
"Terminos y condiciones","Ver la pagina de terminos y condicones exitoso","SUCCESS","2021-08-23T23:05:51.584-05:00[America/Bogota]","0.0","2.99"
"Terminos y condiciones","Descarga de los terminos y condiciones exitoso","SUCCESS","2021-08-23T23:05:54.591-05:00[America/Bogota]","0.0","2.21"
